serialNo,Supplier_NO.,OEM_NO.,Benchmark_NO.,car_brand,car_model,model_name_th,nickname,item_name,fitment_detail,brand,item_group,stock_uom
DD-0000081,D13MZ3F,BP4L 34 380,,MAZDA,MAZDA3,มาสด้า3,โฉมปี 2005-2010 (BK),เบ้าโช้คอัพ/ยางเบ้าโช้คอัพ,หน้า,RBI,เทียบแท้เกรด B,ชิ้น
AC-0000094,DF7490S,435120K120,,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",จานดิสเบรค,หน้า,TRW,เทียบแท้เกรด A,ชิ้น
AF-0000050,4479-0D020_TOYO,4479-0D020,,TOYOTA,VIOS,วีออส,"โฉมปี 2002-2007 (NCP40, 42)",ชุดซ่อมดิสเบรค,หน้า,TOYO,เทียบแท้เกรด A,ชิ้น
FC-0000009,HAT030-20G1,13540-0L010,,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",ไฮดรอลิคดันสายพาน,,NTN,เทียบแท้เกรด A,ชิ้น
DH-0400195,T24VG2WB," 48655-0K010 , 48655-0K020",,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",บู๊ชปีกนก,ล่าง,RBI,เทียบแท้เกรด B,ชิ้น
DH-0400196,T24VG2WS," 48654-0K010 , 48654-0K020",,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",บู๊ชปีกนก,ล่าง,RBI,เทียบแท้เกรด B,ชิ้น
DH-0400226,T24VG02P," 48632-0K010 , 48632-0K020",,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",บู๊ชปีกนก,บน,RBI,เทียบแท้เกรด B,ชิ้น
AC-0000044,DF7251S,435120K060,,TOYOTA,HILUX VIGO,ไฮลักซ์ วีโก้,"โฉมปี 2003-2016 (Vigo 2WD, 4WD, Pre-Runner ยกสูง)",จานดิสเบรค,หน้า,TRW,เทียบแท้เกรด A,ชิ้น
DJ-0200046,T18NC93Z,45535-09300,,TOYOTA,YARIS,ยาริส,โฉมปี 2006-2013 (NCP90),ยางกันฝุ่นแร็ค,,RBI,เทียบแท้เกรด B,ชิ้น
DH-0400183,T24NC93WB,48655-0D051,,TOYOTA,YARIS,ยาริส,โฉมปี 2006-2013 (NCP90),บู๊ชปีกนก,ล่าง,RBI,เทียบแท้เกรด B,ชิ้น
BC-0000009,099700-243040,90919-02234,,TOYOTA,CAMRY,คัมรี่,โฉมปี 2002-2006 (ACV30),คอยล์หัวเทียน,,DENSO,เทียบแท้เกรด A,ชิ้น
